t,yaw,pitch,roll,g_horizontal,is_blinking,left_px,left_py,right_px,right_py
1763407244.951364,nan,nan,nan,nan,0,nan,nan,nan,nan
1763407245.134485,nan,nan,nan,nan,0,nan,nan,nan,nan
1763407245.2676759,nan,nan,nan,nan,0,nan,nan,nan,nan
1763407245.401782,nan,nan,nan,nan,0,nan,nan,nan,nan
1763407245.567929,nan,nan,nan,nan,0,nan,nan,nan,nan
1763407245.701083,nan,nan,nan,nan,0,nan,nan,nan,nan
1763407245.8345459,nan,nan,nan,nan,0,nan,nan,nan,nan
1763407245.968395,nan,nan,nan,nan,0,nan,nan,nan,nan
1763407246.102628,nan,nan,nan,nan,0,nan,nan,nan,nan
1763407246.236402,nan,nan,nan,nan,0,nan,nan,nan,nan
1763407246.369144,nan,nan,nan,nan,0,nan,nan,nan,nan
1763407246.503198,50.312242289347296,171.44413889867062,-7.435777950827042,nan,0,nan,nan,nan,nan
1763407246.670548,nan,nan,nan,nan,0,nan,nan,nan,nan
1763407246.8050182,nan,nan,nan,nan,0,nan,nan,nan,nan
1763407246.937675,nan,nan,nan,nan,0,nan,nan,nan,nan
1763407247.071847,nan,nan,nan,nan,0,nan,nan,nan,nan
1763407247.204663,nan,nan,nan,nan,0,nan,nan,nan,nan
1763407247.335715,nan,nan,nan,nan,0,nan,nan,nan,nan
1763407247.471647,nan,nan,nan,nan,0,nan,nan,nan,nan
1763407247.605361,nan,nan,nan,nan,0,nan,nan,nan,nan
1763407247.737653,nan,nan,nan,nan,0,nan,nan,nan,nan
1763407247.871273,nan,nan,nan,nan,0,nan,nan,nan,nan
1763407248.0045152,nan,nan,nan,nan,0,nan,nan,nan,nan
1763407248.137918,nan,nan,nan,nan,0,nan,nan,nan,nan
1763407248.2709188,nan,nan,nan,nan,0,nan,nan,nan,nan
1763407248.405482,nan,nan,nan,nan,0,nan,nan,nan,nan
1763407248.538283,nan,nan,nan,nan,0,nan,nan,nan,nan
1763407248.671505,nan,nan,nan,nan,0,nan,nan,nan,nan
1763407248.8056178,nan,nan,nan,nan,0,nan,nan,nan,nan
1763407248.937771,nan,nan,nan,nan,0,nan,nan,nan,nan
1763407249.071933,nan,nan,nan,nan,0,nan,nan,nan,nan
1763407249.205964,nan,nan,nan,nan,0,nan,nan,nan,nan
1763407249.337507,nan,nan,nan,nan,0,nan,nan,nan,nan
1763407249.473022,nan,nan,nan,nan,0,nan,nan,nan,nan
1763407249.6060789,nan,nan,nan,nan,0,nan,nan,nan,nan
1763407249.7387369,nan,nan,nan,nan,0,nan,nan,nan,nan
1763407249.8719318,nan,nan,nan,nan,0,nan,nan,nan,nan
1763407250.005493,nan,nan,nan,nan,0,nan,nan,nan,nan
1763407250.138417,nan,nan,nan,nan,0,nan,nan,nan,nan
1763407250.27324,nan,nan,nan,nan,0,nan,nan,nan,nan
1763407250.4055412,nan,nan,nan,nan,0,nan,nan,nan,nan
1763407250.5382762,nan,nan,nan,nan,0,nan,nan,nan,nan
1763407250.672889,nan,nan,nan,nan,0,nan,nan,nan,nan
1763407250.8062878,nan,nan,nan,nan,0,nan,nan,nan,nan
1763407250.9395258,nan,nan,nan,nan,0,nan,nan,nan,nan
1763407251.0731862,nan,nan,nan,nan,0,nan,nan,nan,nan
1763407251.207069,nan,nan,nan,nan,0,nan,nan,nan,nan
1763407251.3376598,nan,nan,nan,nan,0,nan,nan,nan,nan
1763407251.4741719,nan,nan,nan,nan,0,nan,nan,nan,nan
1763407251.606647,nan,nan,nan,nan,0,nan,nan,nan,nan
1763407251.7392619,nan,nan,nan,nan,0,nan,nan,nan,nan
1763407251.873607,nan,nan,nan,nan,0,nan,nan,nan,nan
1763407252.007678,nan,nan,nan,nan,0,nan,nan,nan,nan
1763407252.139321,nan,nan,nan,nan,0,nan,nan,nan,nan
1763407252.2746298,nan,nan,nan,nan,0,nan,nan,nan,nan
1763407252.407083,nan,nan,nan,nan,0,nan,nan,nan,nan
1763407252.5391612,nan,nan,nan,nan,0,nan,nan,nan,nan
1763407252.6728508,nan,nan,nan,nan,0,nan,nan,nan,nan
1763407252.807612,nan,nan,nan,nan,0,nan,nan,nan,nan
1763407252.939871,nan,nan,nan,nan,0,nan,nan,nan,nan
1763407253.074677,nan,nan,nan,nan,0,nan,nan,nan,nan
1763407253.208471,nan,nan,nan,nan,0,nan,nan,nan,nan
1763407253.3388119,nan,nan,nan,nan,0,nan,nan,nan,nan
1763407253.47526,nan,nan,nan,nan,0,nan,nan,nan,nan
1763407253.608433,nan,nan,nan,nan,0,nan,nan,nan,nan
1763407253.7407308,nan,nan,nan,nan,0,nan,nan,nan,nan
1763407253.8754199,nan,nan,nan,nan,0,nan,nan,nan,nan
1763407254.0083961,nan,nan,nan,nan,0,nan,nan,nan,nan
1763407254.1394181,nan,nan,nan,nan,0,nan,nan,nan,nan
1763407254.2751622,nan,nan,nan,nan,0,nan,nan,nan,nan
1763407254.409131,nan,nan,nan,nan,0,nan,nan,nan,nan
1763407254.5413382,nan,nan,nan,nan,0,nan,nan,nan,nan
1763407254.6746309,nan,nan,nan,nan,0,nan,nan,nan,nan
1763407254.809341,nan,nan,nan,nan,0,nan,nan,nan,nan
1763407254.941504,nan,nan,nan,nan,0,nan,nan,nan,nan
1763407255.0766468,nan,nan,nan,nan,0,nan,nan,nan,nan
1763407255.2098298,nan,nan,nan,nan,0,nan,nan,nan,nan
1763407255.340951,nan,nan,nan,nan,0,nan,nan,nan,nan
