t,yaw,pitch,roll,g_horizontal,is_blinking,left_px,left_py,right_px,right_py
1763404380.242388,nan,nan,nan,nan,0,nan,nan,nan,nan
1763404380.458441,2.935284515673063,171.92332525116217,-1.1968755799405517,0.5987654320987654,0,910,477,1110,472
1763404380.624543,3.1014403619410795,172.2705103074353,-1.1439620631853888,0.573404730031236,0,903,479,1102,479
1763404380.7913249,2.128432410876279,172.34208900865855,-1.1670691028326987,0.6338559814169571,0,901,487,1120,476
1763404380.961049,2.576673861595037,172.97472618151863,-0.9204283043887516,0.712205966724039,0,919,486,1134,477
1763404381.1250181,3.399676629274961,172.5517393128539,-1.2980951638172484,0.6177298311444652,0,917,472,1131,476
1763404381.25828,2.0146240263595505,172.94749055554243,-1.0300946584456077,0.6553643724696356,0,920,474,1131,475
1763404381.3915882,2.260091386389805,173.1503416753881,-1.1420320652635614,0.6936871145731904,0,913,476,1131,473
1763404381.527169,2.888736705065451,171.89910389644444,-1.807241567944093,0.7892729633235962,0,932,478,1118,471
1763404381.660397,4.1956985255231345,172.14816487669265,-1.7420032859150394,0.7996170496170496,0,932,473,1119,464
1763404381.7933,-1.8423658295706649,168.5514292733017,-0.7661911886005068,nan,0,nan,nan,nan,nan
1763404381.927099,-0.046464685002188234,167.96191588147212,-0.9183499916246903,0.6463371266002844,1,920,480,1106,478
1763404382.060309,1.2794229408969149,173.32198180831972,-1.4756600458521278,0.46818983250073465,0,881,422,1130,416
1763404382.19329,4.548202630512974,175.05376604156984,-2.0568459089201587,0.6827242524916943,0,920,370,1128,364
1763404382.326692,4.7071080618233045,176.17659232559853,-1.0849679605952722,0.637482900136799,0,908,360,1117,356
1763404382.4612758,1.2254096208658352,176.5265468053544,-0.8045609930057197,0.5809667240390133,0,884,396,1089,391
1763404382.593708,-0.016469424078536035,173.3867956212155,-1.594883531554421,0.57679974346641,0,863,398,1068,395
1763404382.727446,1.3349710367688712,174.122096332418,-0.8781261417406218,0.5567542213883677,0,860,398,1065,392
1763404382.860689,nan,nan,nan,nan,0,nan,nan,nan,nan
1763404382.994153,-1.0211394133234146,174.44943480672396,-1.3069252119987063,0.620632530120482,0,869,404,1081,399
1763404383.128603,0.1626873082765008,174.98787786619997,-1.0710017433363996,0.6281259648039519,0,877,406,1088,401
1763404383.260735,0.8740359964747544,176.52528664332894,-0.7671426727592625,0.6124008228034088,0,884,410,1097,405
1763404383.392309,-0.6036603160620265,176.25606469910485,-0.6342452637703351,0.6270325203252033,0,890,411,1103,406
1763404383.5267289,-2.0927886328878844,177.20583819742097,-0.5643449838453993,0.6336508826001681,0,892,413,1105,410
1763404383.660448,-2.2103603368135363,176.2846925092777,-0.8210682945234822,0.6387921022067364,0,893,414,1105,409
1763404383.793152,-0.82934723559722,176.44956113430806,-0.3189717868954596,0.6229919678714859,0,892,414,1107,410
1763404383.926124,0.5000185677481406,176.45519587674573,-0.4153738438875914,0.5933017785427424,0,888,414,1109,411
1763404384.059974,-1.062009279989946,177.72718306308917,-0.3335313215640521,0.592156862745098,0,890,414,1110,411
1763404384.1943,-0.3684351125757769,176.35602860244893,-0.4002324706637264,0.6408491107286288,0,898,415,1110,411
1763404384.327588,0.18608046198612951,176.95102151961825,-0.4052431671806198,0.6352941176470588,0,898,415,1113,413
1763404384.461004,-1.0374734459865556,176.46394007266326,-0.25187941694239374,0.5980392156862745,0,893,415,1114,412
1763404384.594922,0.16483643817657376,177.0162667331282,-0.31785191775266464,0.6294117647058823,0,903,416,1112,412
1763404384.728523,-1.0366773054190241,177.50214530367404,-0.4213548522859073,0.6416112956810631,0,902,415,1117,412
1763404384.861709,1.039870434989626,176.67760501257786,-0.6582364236004268,0.6551724137931034,0,907,411,1121,409
1763404384.995561,3.0383682706985704,175.85686115035102,-1.1539052458806331,0.6531007751937985,0,907,408,1120,402
1763404385.1297338,1.775443828601848,176.4979309437896,-1.2754745834618517,0.6294117647058823,0,906,405,1116,401
1763404385.261823,1.1746500421778527,175.72670584121337,-1.6334735986307953,0.6395348837209303,0,907,399,1117,397
1763404385.395437,0.5284913696110602,178.90509416562466,-2.5872724012651114,0.5656713683824877,0,883,392,1131,386
1763404385.529676,-1.0689925487397474,177.35450484911502,-1.6547298822839138,0.6648671096345515,0,908,395,1122,392
1763404385.661937,1.2545059319805314,176.18431118022872,-1.9785550872365143,0.6336037863421231,0,909,395,1118,392
1763404385.794825,1.1600554711815096,177.55940391044675,-2.8961243984348863,0.6411960132890366,0,908,392,1119,388
1763404385.929638,-0.19831681862311104,177.09449077085975,-3.0700949658658585,0.6358593958834536,0,907,394,1118,389
1763404386.062351,0.6349934890564286,-179.788562996314,-4.3061244260622304,0.637229210342418,1,902,388,1134,381
1763404386.1950011,0.8141654426867475,179.31662879533576,-3.4571633674645224,0.5530952380952381,1,890,389,1133,383
1763404386.3296168,-0.0656909823555868,178.9486667748524,-2.863809868251108,0.5880053908355796,0,888,390,1140,385
1763404386.462919,6.359540696672644,175.8641590907217,-1.7613050262760985,0.560437523173897,0,897,392,1136,387
1763404386.59637,1.4676858289369095,-179.84551598971578,-3.1057264639912554,0.5717821782178218,1,892,388,1139,382
1763404386.7312331,2.9193093150228058,176.57798293482742,-2.8318580370419912,0.5777322924600152,0,904,400,1132,397
1763404386.862678,4.397254306907924,176.08742010011767,-0.20787698449166614,0.6090389784946236,1,900,395,1140,393
1763404386.995668,4.298847274306396,178.5199844517009,0.34551325762210855,0.5847058823529412,1,900,393,1141,390
1763404387.128853,1.1279426691993404,179.69773252737812,0.46773990950984007,0.5631706472827968,1,891,391,1142,390
1763404387.262635,0.8356105859331138,176.67635269923028,1.0584145969502976,0.5689655172413793,0,901,394,1128,394
1763404387.396498,1.1388889401531324,-178.18474442381896,0.4147966808254384,0.5841575091575092,1,899,391,1140,389
1763404387.530281,1.5770667919022343,176.7211367407714,-0.713002520810951,0.6455721003134796,0,918,391,1128,388
1763404387.663233,2.486865887220358,175.96989752969202,-1.5109020543807732,0.6499999999999999,0,918,385,1131,382
1763404387.796586,1.6992058680901627,176.57651929294198,-1.3698695290993488,0.6572684246112238,0,918,381,1132,377
1763404387.931047,-1.6691885790694294,176.3545233462007,-1.0745678535678604,0.666838084043491,0,918,381,1132,383
1763404388.063914,1.899221424995248,176.40291964351314,-1.5635138307660623,0.6588235294117647,0,920,406,1133,402
1763404388.197345,-1.452185225562949,176.32572760125024,-1.141408330236951,0.6071428571428572,0,907,418,1129,421
1763404388.328533,-1.2192621991278105,175.70083426052116,-0.789732661732832,0.646594684385382,0,920,421,1125,421
1763404388.469162,-0.4406167016376396,175.32523535221102,-1.7313802217267096,0.6585365853658537,0,919,416,1123,412
1763404388.597486,0.11455588475214187,175.89717354403055,-1.1208553583204766,0.6767785427423982,0,919,410,1123,409
1763404388.732779,-2.1670968534218975,174.69921537915323,-1.6798486020891545,0.6927710843373494,0,927,408,1136,406
1763404388.8635058,-1.900092430539354,173.60455883915964,-3.166057763395873,0.7407407407407407,1,936,405,1149,401
1763404388.9974442,1.1013433939719444,172.18259970748207,-3.040025958093802,0.6471483942414176,1,936,411,1159,406
1763404389.130184,-1.9032748068726772,173.92984916281432,-2.716126738536394,0.6705882352941177,0,940,413,1159,406
1763404389.2630122,-8.334746947934768,172.73388047972577,-3.002840749848508,0.7201298701298702,1,938,407,1158,402
1763404389.396266,-4.536256313259878,173.12100879880757,-2.316092649554133,0.5926977687626775,1,917,407,1156,402
1763404389.531894,-4.479524703307586,174.81075130915073,-2.9252321679815423,0.681903234429297,1,927,410,1153,404
1763404389.664844,-5.157577501159102,174.0913656575018,-2.7344422869076586,0.6875,1,927,411,1152,405
1763404389.798811,-4.342718899369965,174.70483737910985,-2.25192235699795,0.666879468845761,0,927,410,1152,406
1763404389.931015,-4.138967755066792,174.808866703978,-2.6026554113927745,0.6761363636363636,0,927,412,1152,407
1763404390.065017,-3.48104651816597,173.91013912990408,-2.6946028327442626,0.6896067415730337,1,929,412,1153,406
1763404390.198535,-4.045042747660981,174.3523589882011,-2.569705081380194,0.7243975903614458,1,930,411,1155,406
1763404390.332911,-3.1048991536634745,174.0408509444101,-2.4265619890733925,0.6959566596194503,1,931,411,1157,405
1763404390.465379,-2.2430487928188305,174.65895248770207,-2.6711819241911714,0.7484222604704532,1,933,411,1159,406
1763404390.598544,-9.131221698484179,171.79497939478406,-1.6449036997695836,0.5764991181657848,1,914,420,1149,417
1763404390.7328691,-4.048845550359023,172.44778583905583,-1.8116628506878312,0.5977011494252873,1,917,415,1162,410
1763404390.86421,-5.469779593570399,172.31607185158344,-1.612882787799012,0.6839249233912155,1,938,415,1163,410
1763404390.997529,-5.482783258707469,172.58566983650815,-1.573234742761454,0.6895429009193055,1,938,414,1164,411
1763404391.1316202,-7.166218258624722,173.1684676373287,-1.1924354315871688,0.5816521961184882,1,920,414,1164,411
1763404391.266659,-5.884341021510193,172.02728090417438,-1.2570125007692483,0.6389811031664965,0,939,413,1157,413
1763404391.4000819,-6.137230876026851,172.72848546429444,-1.5122361781088434,0.6776685393258427,0,939,413,1166,410
1763404391.533045,-8.745872069359761,173.73178750218833,-0.8513139366200815,0.6626175548589341,0,940,416,1166,412
1763404391.666164,-7.612751689885141,174.54522578149593,-0.8626426323901991,0.6416763528348186,0,937,416,1162,413
1763404391.799446,-2.104905914441758,174.38956062411057,-1.357067025745204,0.5384615384615385,0,914,413,1149,414
1763404391.9341388,-1.2529841560555368,174.83945976518558,-2.1591512570043645,0.6550689479060265,0,920,414,1142,411
1763404392.0659552,-4.972455541944031,176.15968025930448,-1.414141492333848,0.6277935547598469,0,908,411,1130,407
1763404392.2000158,-7.97177452875027,177.12328058416293,-1.0239469460587318,0.603359173126615,0,895,409,1117,403
1763404392.3345459,-8.83410415967586,177.7362412549293,-1.0405321065074098,0.6004163077806488,0,888,409,1105,403
1763404392.467175,-8.380606500695762,176.9341810352041,-0.8205718103435965,0.6069104002215759,0,889,411,1104,406
1763404392.597922,-7.0736405564635305,176.74442873087685,-0.7833884706906659,0.6206896551724137,0,892,414,1110,410
1763404392.734265,-8.490052366515886,176.781787771002,-0.5059584893748424,0.6373456790123457,0,897,416,1114,414
1763404392.866326,-7.85606549682861,176.9256874934146,-0.5131768977484604,0.5865649963689179,0,891,417,1116,414
1763404392.999593,-9.19532954119201,177.3638682276109,-0.8918712709074211,0.5898650588573069,0,892,419,1118,415
1763404393.13503,-7.926010221298592,177.84847349919886,-0.8988098768391378,0.5904323175053154,0,893,419,1120,415
1763404393.2665322,-5.1200866825892914,177.37989010034357,-1.2156216385405552,0.5794117647058823,0,894,420,1122,416
1763404393.3995771,-7.117970536473357,177.1173752509085,-1.9934647851580904,0.6270429009193055,0,909,421,1126,418
1763404393.534261,-0.9967294184859591,176.98106913750433,-2.3579280435247254,0.6230888676540851,0,912,424,1134,420
1763404393.667719,-4.735915646483932,177.95172966458318,-1.6447200070449333,0.6003973819541841,1,915,427,1136,422
1763404393.8001778,-4.150737283652874,179.72719364353793,-1.4399632819781651,0.6486676016830295,0,915,429,1152,424
