t,yaw,pitch,roll,g_horizontal,is_blinking,left_px,left_py,right_px,right_py,trial_index,stimulus_state,stimulus_angle_deg,stimulus_x,stimulus_y,fixation_x,fixation_y
1765400610.2987552,13.490813910796918,175.4378007811065,-2.3055011147553293,0.5611861861861862,0,955,490,1142,488,0,center,,,,375,332
1765400610.47,12.404068567604405,175.14159191965382,-1.8531838015220574,0.5508145131432802,0,954,491,1140,489,0,center,,,,375,332
1765400610.5974212,12.337964813769968,175.6262264304886,-1.6531409349967259,0.55,1,955,492,1143,489,0,center,,,,375,332
1765400610.726669,12.153456424343508,176.2821733130538,-1.2668917067360055,0.5433333333333333,0,956,492,1144,490,0,center,,,,375,332
1765400610.856736,13.550576218725668,176.49684700715255,-1.5184730691306323,0.5467579908675799,0,956,494,1143,492,0,center,,,,375,332
1765400611.004309,12.427351289601035,176.1020392069566,-1.2147931422552714,0.556326604181687,1,956,495,1144,493,0,center,,,,375,332
1765400611.130347,11.830729404204847,176.64003153705008,-1.1235909033917089,0.5366666666666666,1,954,497,1142,494,0,center,,,,375,332
1765400611.266599,13.772620240689562,176.77295468916236,-1.3363294127489374,0.5643280266567938,1,955,497,1143,495,0,center,,,,375,332
1765400611.3996968,13.271960865803294,176.5765817154129,-1.2619930597890756,0.5469406392694064,1,955,497,1141,496,0,gap,,,,375,332
1765400611.531775,14.028446593395392,176.98311688038078,-1.4257482640193686,0.556326604181687,1,955,498,1142,496,0,gap,,,,375,332
1765400611.6692421,12.937554116376853,176.5278626308839,-1.1710266077056,0.5464181286549707,1,955,498,1142,496,0,target,115.66094345425707,284,521,375,332
1765400611.80028,12.929500383919835,176.15488925640705,-1.4374601427185991,0.5467579908675799,1,955,498,1142,497,0,target,115.66094345425707,284,521,375,332
1765400611.937397,12.050328250491006,176.49471092548805,-1.4637825178867707,0.5536073059360731,1,955,498,1142,497,0,target,115.66094345425707,284,521,375,332
1765400612.065454,11.63421718535263,176.13663338863546,-1.2389711590800847,0.5505555555555556,1,957,499,1143,498,0,target,115.66094345425707,284,521,375,332
1765400612.200383,8.667049696387238,176.75683947953922,-0.979808358042714,0.5595661450924608,1,958,501,1145,501,0,target,115.66094345425707,284,521,375,332
1765400612.333707,11.439385502633415,176.93425587501366,-1.0151813001610395,0.5604566210045663,1,959,502,1145,501,0,target,115.66094345425707,284,521,375,332
1765400612.464184,10.748891802082886,176.92226633771318,-0.9091712906327614,0.5737899543378995,1,958,503,1146,502,0,target,115.66094345425707,284,521,375,332
1765400612.601869,10.88364500885739,176.75098150911882,-1.1587101869831127,0.5701801801801801,1,958,503,1147,502,0,target,115.66094345425707,284,521,375,332
1765400612.736075,10.836543433291897,176.4427676948787,-1.1184171868455002,0.5624780624780625,1,959,503,1147,503,0,target,115.66094345425707,284,521,375,332
1765400612.8682308,10.671748845966993,176.8527008102081,-0.7990228135022677,0.566145092460882,1,959,503,1147,503,0,target,115.66094345425707,284,521,375,332
1765400613.002948,11.19330892362349,176.46263762062426,-0.5667185310883982,0.5622148122148122,1,959,503,1147,504,0,target,115.66094345425707,284,521,375,332
1765400613.136946,11.068950628538742,176.83600677931307,-0.9621982424806614,0.5629055515501081,1,959,504,1148,504,0,target,115.66094345425707,284,521,375,332
1765400613.265463,11.402543652761624,177.10496182814109,-0.89052213022839,0.5836111111111111,1,959,503,1152,503,1,center,,,,15,538
1765400613.404951,11.723277076271824,177.17387402073388,-0.9279774530372558,0.5554580554580555,1,959,504,1148,504,1,center,,,,15,538
1765400613.5324538,12.935172571079452,176.7929722517687,-0.9913002282812451,0.549747656813266,1,960,503,1147,504,1,center,,,,15,538
1765400613.672597,9.951974449862583,176.68164336354744,-0.9063251124074991,0.6189544807965861,1,961,503,1156,504,1,center,,,,15,538
1765400613.79792,11.304365301477565,176.20625628471535,-0.44682423421015927,0.6034607065609228,1,966,506,1153,507,1,center,,,,15,538
1765400613.9367838,7.5287230865010235,176.84273637263115,-0.4960480676344517,0.6266666666666667,1,967,506,1158,507,1,center,,,,15,538
1765400614.0696461,8.360702961201849,176.3300944891264,-0.49621672853679194,0.6008219178082193,1,967,506,1155,506,1,center,,,,15,538
