t,yaw,pitch,roll,g_horizontal,is_blinking,left_px,left_py,right_px,right_py,trial_index,stimulus_state,stimulus_angle_deg,stimulus_x,stimulus_y,fixation_x,fixation_y
1765400508.1666381,3.2274904077024344,179.50705011956947,-0.18616063779075578,0.5712699000370234,0,985,513,1168,512,0,center,,,,216,201
1765400508.340393,5.232703504576184,179.91527615764608,-0.21572539220737133,0.5684931506849316,0,985,514,1167,513,0,center,,,,216,201
1765400508.4622211,5.741421659333319,-179.29342191564814,-0.3046706348795296,0.5800000000000001,0,986,516,1169,514,0,center,,,,216,201
1765400508.605163,8.627676752926112,-179.51623403604202,-0.6096879964009968,0.5616438356164384,0,986,517,1168,515,0,center,,,,216,201
1765400508.735389,6.325706250614329,-179.36935031729496,-0.11379870475211026,0.5810810810810811,1,987,517,1170,515,0,center,,,,216,201
1765400508.86791,5.56552534575248,179.94531149211903,-0.08665868447883766,0.5675675675675675,0,987,517,1170,515,0,center,,,,216,201
1765400509.0046499,5.9777961754185105,-179.45597472375184,-0.002243686558858321,0.577027027027027,1,988,517,1171,515,0,center,,,,216,201
1765400509.133109,6.458274196069062,-179.05657624342723,-0.15363797422293185,0.5733333333333333,1,988,517,1171,515,0,center,,,,216,201
1765400509.2693388,5.666145060348984,-179.56858830271875,-0.06115392516315741,0.6081081081081081,1,989,517,1177,516,0,gap,,,,216,201
1765400509.403884,4.427046353960584,-179.0228752763733,-0.030009140186538247,0.5703603603603604,1,989,519,1171,516,0,gap,,,,216,201
1765400509.536151,5.349356432827281,-179.14656006477253,-0.2950552198670593,0.5810810810810811,1,989,520,1171,517,0,target,20.574153040835576,412,274,216,201
1765400509.669007,3.7949852542958786,-178.8682947884895,-0.043413310137565705,0.5771171171171171,1,989,520,1171,517,0,target,20.574153040835576,412,274,216,201
1765400509.8063722,4.391838440385761,-179.4000628076092,-0.07154986097314166,0.5713624583487598,0,989,520,1171,517,0,target,20.574153040835576,412,274,216,201
1765400509.9302988,3.080780182428751,-178.51289003107186,-0.08227630777278777,0.5675675675675675,1,988,520,1171,517,0,target,20.574153040835576,412,274,216,201
1765400510.0733728,2.8602452683765005,-179.06475916891327,-0.40571873497915206,0.572203196347032,1,987,521,1170,519,0,target,20.574153040835576,412,274,216,201
1765400510.20347,5.137288056980475,-179.32922866598224,-0.8719321344947554,0.5721080669710807,1,984,523,1169,519,0,target,20.574153040835576,412,274,216,201
1765400510.339518,8.232616766304183,-179.2974778609565,-0.9452918648056857,0.5681306306306306,1,984,523,1168,520,0,target,20.574153040835576,412,274,216,201
1765400510.46874,3.920343458615473,-179.11436594519867,-0.8037268875133271,0.5652587519025876,1,984,522,1168,520,0,target,20.574153040835576,412,274,216,201
1765400510.604674,6.626563530318906,-179.53288412033035,-0.6636629131060046,0.5611861861861862,0,984,522,1167,521,0,target,20.574153040835576,412,274,216,201
1765400510.736584,5.645526720302483,-178.77975435329813,-0.8769907172336756,0.554054054054054,1,984,522,1167,520,0,target,20.574153040835576,412,274,216,201
